dataset,column,missing_count,missing_percent
team_matches_home_away_raw (1),opponent_quarter_scores,0,0.0
team_matches_home_away_raw (1),opponent,0,0.0
team_matches_home_away_raw (1),opponent_score,0,0.0
team_matches_home_away_raw (1),result,0,0.0
team_matches_home_away_raw (1),margin,0,0.0
team_matches_home_away_raw (1),venue,0,0.0
team_matches_home_away_raw (1),team_goals_kicked,0,0.0
team_matches_home_away_raw (1),team_behinds,0,0.0
team_matches_home_away_raw (1),opponent_goals_kicked,0,0.0
team_matches_home_away_raw (1),opponent_behinds,0,0.0
