team,Avg_Performance,Avg_Fantasy,Avg_Goals,Avg_Disposals,Players
 FREMANTLE DOCKERS ,36.32702931733361,83.96971624669987,0.42394669952387776,16.039364693491184,35
 Western Bulldogs ,32.28747771722602,73.29807554681119,0.6328700779848867,18.259482688314417,139
 collingwood magpies ,31.812679844185034,70.7918441132109,1.293917650016266,17.134816596321787,17
 richmond tigers ,31.525929684022245,68.04569020034782,0.4154868083615124,17.64182651056627,34
GOLD COAST SUNS,31.518942080722447,68.04870328285256,0.4857197399450731,16.447109734678143,35
 essendon bombers ,30.88938034948563,71.37226967551166,0.506983424329681,18.046469751282586,22
 St Kilda Saints ,30.02231264958142,71.52790378504946,1.132522449137469,14.543842590687923,119
 Melbourne Demons ,29.765404950703495,67.2024148958309,0.7489984940184328,15.30488536429504,92
 north melbourne kangaroos ,28.95983105742297,65.63730936819172,0.2599342514783691,16.33271669779023,12
ADELAIDE CROWS,28.739614383794237,67.1684349033186,0.7614422526770744,15.50756605867546,159
 fremantle dockers ,28.522477808652066,66.59936245257413,0.7693482272875866,11.458343551566664,25
 Greater Western Sydney Giants ,28.43673059069843,66.94351678232329,1.018872979703475,15.016903782406105,50
greater western sydney giants,28.36358338001042,63.05725099916097,0.49664807228873264,15.12183836665331,103
GEELONG CATS,28.239199951639993,65.86987562414234,0.6194916341877346,15.612747511299041,220
HAWTHORN HAWKS,28.213476048600523,64.58634286370663,0.6780767686733631,15.900161357184269,125
 Hawthorn Hawks ,28.012859545288656,66.15868170131704,0.5257161114347529,16.305775964513884,99
 Carlton Blues ,27.959022592356472,63.87101741582004,0.6490962789647,15.879864734437103,60
GREATER WESTERN SYDNEY GIANTS,27.742852360270998,65.2799858319806,0.45856520853316096,16.01904710106106,129
CARLTON BLUES,27.701193416066257,65.18735888964335,0.9126322233874545,14.686340659851753,143
 Collingwood Magpies ,27.587257848665782,65.5695465288066,0.6613222838393117,15.155999757122823,50
 GOLD COAST SUNS ,27.461979166666666,65.78125,0.2916666666666667,16.791666666666668,4
brisbane bears,27.075209453558138,65.33133610541505,0.6696409584567479,19.312919419761524,10
western bulldogs,26.40124777233371,61.86438550160206,0.8975970554480216,15.68125420488317,145
Geelong Cats,26.319462908191927,62.44520171650555,0.74599786750381,14.595100962940778,1258
Hawthorn Hawks,26.290724276004404,61.96900345012338,0.6834580473291941,14.344814529480535,1110
 Fremantle Dockers ,26.281859342516295,61.118326383675786,0.6556390512283922,14.661776730935289,70
brisbane lions,26.22081160951301,61.92211532757061,0.4643766095092239,15.016084752288506,65
West Coast Eagles,26.194813129405816,61.131384630213866,0.6828245013183962,14.822599870156731,1152
WESTERN BULLDOGS,26.049583071899832,59.79447201301834,0.43554396100618803,15.168432618513718,121
Sydney Swans,25.99785304558228,60.7725242158599,0.747233765079698,14.255279086951592,1170
 North Melbourne Kangaroos ,25.962023188707025,61.12067697495301,0.625160866724825,15.064683085920032,72
St Kilda Saints,25.95991060109525,60.582391619401825,0.6308541796837993,14.589213629339929,1025
hawthorn hawks,25.94725312269083,62.34534194910456,0.5879840707611821,15.409779307023719,97
Port Adelaide Power,25.88030974863267,60.02563900845092,0.6711642058474182,14.36222537145025,997
Essendon Bombers,25.872047183058786,61.222764863348615,0.7517087292325869,14.384179751750692,1150
Collingwood Magpies,25.861497796117067,61.167185863085535,0.6292477506448968,14.155293590455782,1197
Adelaide Crows,25.707584260118953,60.058183137892726,0.717387208560817,14.270665809922251,1174
 Essendon Bombers ,25.581600722055036,60.88637873259228,0.6527554726827146,14.94903247849129,101
WEST COAST EAGLES,25.51270680688269,61.196119756421346,0.8548063144826208,13.901306362992186,152
Greater Western Sydney Giants,25.43048334115838,60.83084296182389,0.5671038937126385,13.887420788487576,467
Fremantle Dockers,25.360919158087885,59.411441517301675,0.6170288158574245,13.984392237427393,971
Gold Coast Suns,25.30247753152228,58.92124150691126,0.48576000988945456,13.689904665134145,502
 Brisbane Lions ,25.252568605456176,58.91704271312701,0.7729811534589186,12.764657104142223,44
port adelaide power,25.250061788407294,57.79966914735757,0.9363528843739968,14.505868339888295,119
