id,team,year,career_game_count,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,player_id,match_date,fantasy_points,score,margin,team_name,home_away,venue,crowd,_merge
71943,St Kilda Saints,2001,14,Western Bulldogs,16,L,24,8.0,7.0,8.0,11.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,4.0,12.0,2.0,0.0,2.0,0.0,0.0,84.0,44239,2001-07-21,74,,-34,,,,,left_only
562004,Sydney Swans,2001,104,Adelaide Crows,16,W,23,12.0,6.0,7.0,14.0,0.0,1.0,0.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,8.0,9.0,1.0,1.0,1.0,2.0,0.0,84.0,45773,2001-07-22,79,,49,,,,,left_only
543749,Sydney Swans,2001,82,Adelaide Crows,16,W,22,5.0,3.0,7.0,7.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,0.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0,84.0,45851,2001-07-22,39,,49,,,,,left_only
80397,Western Bulldogs,2001,9,St Kilda Saints,16,W,29,9.0,4.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,10.0,0.0,0.0,3.0,0.0,0.0,84.0,43888,2001-07-21,49,,34,,,,,left_only
562913,Western Bulldogs,2001,46,St Kilda Saints,16,W,30,5.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,84.0,45838,2001-07-21,29,,34,,,,,left_only
516941,Adelaide Crows,2002,60,Western Bulldogs,16,W,24,11.0,7.0,6.0,14.0,4.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,1.0,7.0,2.0,0.0,0.0,84.0,45396,2002-07-21,78,,43,,,,,left_only
549738,Brisbane Lions,2002,154,Sydney Swans,16,W,23,12.0,4.0,4.0,11.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,6.0,7.0,2.0,0.0,5.0,0.0,0.0,84.0,45669,2002-07-21,60,,38,,,,,left_only
554881,Brisbane Lions,2002,101,Sydney Swans,16,W,15,5.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,6.0,0.0,0.0,84.0,45747,2002-07-21,37,,38,,,,,left_only
8326,Brisbane Lions,2002,9,Sydney Swans,16,W,9,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,84.0,44421,2002-07-21,26,,38,,,,,left_only
513874,Brisbane Lions,2002,87,Sydney Swans,16,W,5,13.0,10.0,8.0,16.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,6.0,15.0,0.0,0.0,2.0,0.0,0.0,84.0,45864,2002-07-21,102,,38,,,,,left_only
